ID,English_Verb,Greek_Verb,Translation,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
1,Eat,Τρώω,To eat,Τρώω ,Τρως ,Τρώει ,Τρώμε ,Τρώτε ,Τρώνε ,Έφαγα ,Έφαγες ,Έφαγε ,Φάγαμε ,Φάγατε ,Έφαγαν /Φάγαν ,Θα φάω ,Θα φας ,Θα φάει ,Θα φάμε ,Θα φάτε ,Θα φάνε /φάγουν ,Φάε ,Φάτε ,Τρώγε ,Τρώτε 
2,Buy,Αγοράζω,Tu buy,Αγοράζω ,Αγοράζεις ,Αγοράζει ,Αγοράζουμε ,Αγοράζετε ,Αγοράζουν ,Αγόρασα ,Αγόρασες ,Αγόρασε ,Αγοράσαμε ,Αγοράσατε ,Αγόρασαν ,Θα αγοράσω ,Θα αγοράσεις ,Θα αγοράσει ,Θα αγοράσουμε ,Θα αγοράσετε ,Θα αγοράσουν ,Αγόρασε ,Αγοράστε ,Αγόραζε ,Αγοράζετε 
3,Pay,Πηγαίνω ,To pay,Πηγαίνω ,Πηγαίνεις ,Πηγαίνει ,Πηγαίνουμε ,Πηγαίνετε ,Πηγαίνουν ,Πήγα ,Πήγες ,Πήγε ,Πήγαμε ,Πήγατε ,Πήγαν ,Θα πάω ,Θα πας ,Θα πάει ,Θα πάμε ,Θα πάτε ,Θα πάνε /πάγουν ,Πλήρωσε ,Πληρώστε ,Πλήρωνε ,Πληρώνετε 
4,Cook,Μαγειρεύω ,To cook,Μαγειρεύω ,Μαγειρεύεις ,Μαγειρεύει ,Μαγειρεύουμε ,Μαγειρεύετε ,Μαγειρεύουν ,Μαγείρεψα ,Μαγείρεψες ,Μαγείρεψε ,Μαγειρέψαμε ,Μαγειρέψατε ,Μαγείρεψαν ,Θα μαγειρέψω ,Θα μαγειρέψεις ,Θα μαγειρέψει ,Θα μαγειρέψουμε ,Θα μαγειρέψετε ,Θα μαγειρέψουν ,Μαγείρεψε ,Μαγειρέψτε ,Μαγείρευε ,Μαγειρεύετε 
5,Speak,Μιλάω,To speak,Μιλώ/Μιλάω ,Μιλάς ,Μιλά ,Μιλούμε/Μιλάμε ,Μιλάτε ,Μιλούν/Μιλάνε ,Μίλησα ,Μίλησες ,Μίλησε ,Μιλήσαμε ,Μιλήσατε ,Μίλησαν ,Θα μιλήσω ,Θα μιλήσεις ,Θα μιλήσει ,Θα μιλήσουμε ,Θα μιλήσετε ,Θα μιλήσουν ,Μίλησε ,Μιλήστε ,Μίλα ,Μιλάτε 
6,Drink,Πίνω ,To drink,Πίνω ,Πίνεις ,Πίνει ,Πίνουμε ,Πίνετε ,Πίνουν ,Ήπια ,Ήπιες ,Ήπιε ,Ήπιαμε ,Ήπιατε ,Ήπιαν ,Θα πιω ,Θα πιεις /πιείς ,Θα πιει /πιεί ,Θα πιούμε ,Θα πιείτε /πιείτε ,Θα πιούν /πιούνε ,Πιες ,Πιείτε ,Πίνε ,Πίνετε 
7,Wait,Περιμένω,To wait,Περιμένω ,Περιμένεις ,Περιμένει ,Περιμένουμε ,Περιμένετε ,Περιμένουν ,Περίμενα ,Περίμενες ,Περίμενε ,Περιμέναμε ,Περιμένατε ,Περίμεναν ,Θα περιμένω ,Θα περιμένεις ,Θα περιμένει ,Θα περιμένουμε ,Θα περιμένετε ,Θα περιμένουν ,Περίμενε ,Περιμένετε ,Περίμενε ,Περιμένετε 
8,Ask,Ρωτάω,To ask,Ρωτάω/Ρωτώ ,Ρωτάς ,Ρωτά ,Ρωτάμε/Ρωτούμε ,Ρωτάτε ,Ρωτούν/Ρωτάνε ,Ρώτησα ,Ρώτησες ,Ρώτησε ,Ρωτήσαμε ,Ρωτήσατε ,Ρώτησαν ,Θα ρωτήσω ,Θα ρωτήσεις ,Θα ρωτήσει ,Θα ρωτήσουμε ,Θα ρωτήσετε ,Θα ρωτήσουν , Ρώτησε , Ρωτήστε , Ρώτα , Ρωτάτε 
9,Watch,Παρακολουθώ,To watch,Παρακολουθώ ,Παρακολουθείς ,Παρακολουθεί ,Παρακολουθούμε ,Παρακολουθείτε ,Παρακολουθούν ,Παρακολούθησα ,Παρακολούθησες ,Παρακολούθησε ,Παρακολουθήσαμε ,Παρακολουθήσατε ,Παρακολούθησαν ,Θα παρακολουθήσω ,Θα παρακολουθήσεις ,Θα παρακολουθήσει ,Θα παρακολουθήσουμε ,Θα παρακολουθήσετε ,Θα παρακολουθήσουν , Κοίταξε , Κοιτάξτε , Κοίταζε , Κοιτάζετε 
10,See,Βλέπω,To see,Βλέπω ,Βλέπεις ,Βλέπει ,Βλέπουμε ,Βλέπετε ,Βλέπουν ,Είδα ,Είδες ,Είδε ,Είδαμε ,Είδατε ,Είδαν ,Θα δω ,Θα δεις ,Θα δει ,Θα δούμε ,Θα δείτε ,Θα δουν , Δες , Δείτε , Βλέπε , Βλέπετε 
11,Forget,Ξεχνάω,To forget,Ξεχνάω/Ξεχνώ ,Ξεχνάς ,Ξεχνά ,Ξεχνάμε/Ξεχνούμε ,Ξεχνάτε ,Ξεχνούν/Ξεχνάνε ,Ξέχασα ,Ξέχασες ,Ξέχασε ,Ξεχάσαμε ,Ξεχάσατε ,Ξέχασαν ,Θα ξεχάσω ,Θα ξεχάσεις ,Θα ξεχάσει ,Θα ξεχάσουμε ,Θα ξεχάσετε ,Θα ξεχάσουν , Ξέχασε , Ξεχάστε , Ξέχνα , Ξεχνάτε 
12,Stop,Σταματάω,To stop,Σταματάω ,Σταματάς ,Σταματάει ,Σταματάμε ,Σταματάτε ,Σταματούν ,Σταμάτησα ,Σταμάτησες ,Σταμάτησε ,Σταματήσαμε ,Σταματήσατε ,Σταμάτησαν ,Θα σταματήσω ,Θα σταματήσεις ,Θα σταματήσει ,Θα σταματήσουμε ,Θα σταματήσετε ,Θα σταματήσουν , Σταμάτησε , Σταματήστε , Σταμάτα , Σταματάτε 
13,Help,Βοηθάω,To help,Βοηθάω ,Βοηθάς ,Βοηθάει ,Βοηθάμε ,Βοηθάτε ,Βοηθούν ,Βοήθησα ,Βοήθησες ,Βοήθησε ,Βοηθήσαμε ,Βοηθήσατε ,Βοήθησαν ,Θα βοηθήσω ,Θα βοηθήσεις ,Θα βοηθήσει ,Θα βοηθήσουμε ,Θα βοηθήσετε ,Θα βοηθήσουν , Βοήθησε , Βοηθήστε , Βοήθα , Βοηθάτε 
14,Plan,Σχεδιάζω,To plan,Σχεδιάζω ,Σχεδιάζεις ,Σχεδιάζει ,Σχεδιάζουμε ,Σχεδιάζετε ,Σχεδιάζουν ,Σχεδίασα ,Σχεδίασες ,Σχεδίασε ,Σχεδιάσαμε ,Σχεδιάσατε ,Σχεδίασαν ,Θα σχεδιάσω ,Θα σχεδιάσεις ,Θα σχεδιάσει ,Θα σχεδιάσουμε ,Θα σχεδιάσετε ,Θα σχεδιάσουν , Σχεδίασε , Σχεδιάστε , Σχεδίαζε , Σχεδιάζετε 
15,Buy,Αγοράζω ,To buy,Αγοράζω ,Αγοράζεις ,Αγοράζει ,Αγοράζουμε ,Αγοράζετε ,Αγοράζουν ,Αγόρασα ,Αγόρασες ,Αγόρασε ,Αγοράσαμε ,Αγοράσατε ,Αγόρασαν ,Θα αγοράσω ,Θα αγοράσεις ,Θα αγοράσει ,Θα αγοράσουμε ,Θα αγοράσετε ,Θα αγοράσουν , Αγόρασε , Αγοράστε , Αγόραζε , Αγοράζετε 
16,Sing,Τραγουδάω ,To sing,Τραγουδάω ,Τραγούδησα ,Θα τραγουδήσω ,Τραγουδάς ,Τραγούδησες ,Θα τραγουδήσεις ,Τραγουδάει ,Τραγούδησε ,Θα τραγουδήσει ,Τραγουδάμε ,Τραγουδήσαμε ,Θα τραγουδήσουμε ,Τραγουδάτε ,Τραγουδήσατε ,Θα τραγουδήσετε ,Τραγουδούν ,Τραγούδησαν ,Θα τραγουδήσουν , Τραγούδησε , Τραγουδήστε , Τραγούδα , Τραγουδάτε 
17,Listen,Ακούω ,To listen,Ακούω ,Άκουσα ,Θα ακούσω ,Ακούς ,Άκουσες ,Θα ακούσεις ,Ακούει ,Άκουσε ,Θα ακούσει ,Ακούμε ,Ακούσαμε ,Θα ακούσουμε ,Ακούτε ,Ακούσατε ,Θα ακούσετε ,Ακούν ,Άκουσαν ,Θα ακούσουν , Άκουσε , Ακούστε , Άκου , Ακούτε 
18,Sell,Πουλάω ,To sell,Πουλάω ,Πούλησα ,Θα πουλήσω ,Πουλάς ,Πούλησες ,Θα πουλήσεις ,Πουλάει ,Πούλησε ,Θα πουλήσει ,Πουλάμε ,Πουλήσαμε ,Θα πουλήσουμε ,Πουλάτε ,Πουλήσατε ,Θα πουλήσετε ,Πουλούν ,Πούλησαν ,Θα πουλήσουν , Πούλησε , Πουλήστε , Πούλα , Πουλάτε 
19,Be,Είμαι ,To be,Είμαι ,Ήμουν ,Θα είμαι ,Είσαι ,Ήσουν ,Θα είσαι ,Είναι ,Ήταν ,Θα είναι ,Είμαστε ,Ήμασταν / Ήμαστε ,Θα είμαστε ,Είστε ,Ήσασταν / Ήσαστε ,Θα είστε ,Είναι ,Ήταν ,Θα είναι ,Να είσαι,Να είστε,,
20,Understand,Καταλαβαίνω,To understand,Καταλαβαίνω,Κατάλαβα,Θα καταλάβω,Καταλαβαίνεις,Κατάλαβες,Θα καταλάβεις,Καταλαβαίνει,Κατάλαβε,Θα καταλάβει,Καταλαβαίνουμε,Καταλάβαμε,Θα καταλάβουμε,Καταλαβαίνετε,Καταλάβατε,Θα καταλάβετε,Καταλαβαίνουν,Κατάλαβαν,Θα καταλάβουν, Κατάλαβε , Καταλάβετε , Καταλάβαινε , Καταλαβαίνετε 
21,Run,Τρέχω,To run,Τρέχω ,Έτρεξα ,Θα τρέξω ,Τρέχεις ,Έτρεξες ,Θα τρέξεις ,Τρέχει ,Έτρεξε ,Θα τρέξει ,Τρέχουμε ,Τρέξαμε ,Θα τρέξουμε ,Τρέχετε ,Τρέξατε ,Θα τρέξετε ,Τρέχουν ,Έτρεξαν ,Θα τρέξουν , Τρέξε , Τρέξτε , Τρέχε , Τρέχετε 
22,Read,Διαβάζω,To read,Διαβάζω,Διάβασα,Θα διαβάσω,Διαβάζεις,Διάβασες,Θα διαβάσεις,Διαβάζει,Διάβασε,Θα διαβάσει,Διαβάζουμε,Διαβάσαμε,Θα διαβάσουμε,Διαβάζετε,Διαβάσατε,Θα διαβάσετε,Διαβάζουν,Διάβασαν,Θα διαβάσουν, Διάβασε , Διαβάστε , Διάβαζε , Διαβάζετε 
23,Have,Έχω,To have,Έχω,Είχα,Θα έχω,Έχεις,Είχες,Θα έχεις,Έχει,Είχε,Θα έχει,Έχουμε,Είχαμε,Θα έχουμε,Έχετε,Είχατε,Θα έχετε,Έχουν,Είχαν,Θα έχουν,Να έχεις ,Να έχετε,,
24,Say,Λέω,To say,Λέω,Είπα,Θα πω,Λες,Είπες,Θα πεις,Λέει,Είπε,Θα πει,Λέμε,Είπαμε,Θα πούμε,Λέτε,Είπατε,Θα πείτε,Λένε,Είπαν,Θα πουν, Πες , Πείτε , Λέγε , Λέγετε 
25,Cost,Κοστίζω,To cost,Κοστίζω,Κόστισα,Θα κοστίσω,Κοστίζεις,Κόστισες,Θα κοστίσεις,Κοστίζει,Κόστισε,Θα κοστίσει,Κοστίζουμε,Κοστίσαμε,Θα κοστίσουμε,Κοστίζετε,Κοστίσατε,Θα κοστίσετε,Κοστίζουν,Κόστισαν,Θα κοστίσουν,,,,
26,Write,Γράφω,To write,Γράφω,Έγραψα,Θα γράψω,Γράφεις,Έγραψες,Θα γράψεις,Γράφει,Έγραψε,Θα γράψει,Γράφουμε,Γράψαμε,Θα γράψουμε,Γράφετε,Γράψατε,Θα γράψετε,Γράφουν,Έγραψαν,Θα γράψουν, Γράψε , Γράψτε , Γράφε , Γράφετε 
27,Open,Ανοίγω,To open,Ανοίγω,Άνοιξα,Θα ανοίξω,Ανοίγεις,Άνοιξες,Θα ανοίξεις,Ανοίγει,Άνοιξε,Θα ανοίξει,Ανοίγουμε,Ανοίξαμε,Θα ανοίξουμε,Ανοίγετε,Ανοίξατε,Θα ανοίξετε,Ανοίγουν,Άνοιξαν,Θα ανοίξουν, Άνοιξε , Ανοίξτε , Άνοιγε , Ανοίγετε 
28,Close,Κλείνω,To close,Κλείνω,Έκλεισα,Θα κλείσω,Κλείνεις,Έκλεισες,Θα κλείσεις,Κλείνει,Έκλεισε,Θα κλείσει,Κλείνουμε,Κλείσαμε,Θα κλείσουμε,Κλείνετε,Κλείσατε,Θα κλείσετε,Κλείνουν,Έκλεισαν,Θα κλείσουν, Κλείσε , Κλείστε , Κλείνε , Κλείνετε 
29,Walk,Περπατάω,To walk,Περπατάω,Περπάτησα,Θα περπατήσω,Περπατάς,Περπάτησες,Θα περπατήσεις,Περπατάει,Περπάτησε,Θα περπατήσει,Περπατάμε,Περπατήσαμε,Θα περπατήσουμε,Περπατάτε,Περπατήσατε,Θα περπατήσετε,Περπατούν,Περπάτησαν,Θα περπατήσουν, Περπάτησε , Περπατήστε , Περπάτα , Περπατάτε 
30,Love,Αγαπάω,To love,Αγαπάω,Αγάπησα,Θα αγαπήσω,Αγαπάς,Αγάπησες,Θα αγαπήσεις,Αγαπάει,Αγάπησε,Θα αγαπήσει,Αγαπάμε,Αγαπήσαμε,Θα αγαπήσουμε,Αγαπάτε,Αγάπησατε,Θα αγαπήσετε,Αγαπούν,Αγάπησαν,Θα αγαπήσουν, Αγάπησε , Αγαπήστε , Αγάπα , Αγαπάτε 
31,Can,Μπορώ,To can,Μπορώ,Μπορούσα,Θα μπορέσω,Μπορείς,Μπορούσες,Θα μπορέσεις,Μπορεί,Μπορούσε,Θα μπορέσει,Μπορούμε,Μπορούσαμε,Θα μπορέσουμε,Μπορείτε,Μπορούσατε,Θα μπορέσετε,Μπορούν,Μπορούσαν,Θα μπορέσουν,,,,
32,Wake up,Ξυπνάω,To wake up,Ξυπνάω,Ξύπνησα,Θα ξυπνήσω,Ξυπνάς,Ξύπνησες,Θα ξυπνήσεις,Ξυπνάει,Ξύπνησε,Θα ξυπνήσει,Ξυπνάμε,Ξυπνήσαμε,Θα ξυπνήσουμε,Ξυπνάτε,Ξυπνήσατε,Θα ξυπνήσετε,Ξυπνούν,Ξύπνησαν,Θα ξυπνήσουν, Ξύπνησε , Ξυπνήστε , Ξύπνα , Ξυπνάτε 
33,Consider,Σκέφτομαι,To consider,Σκέφτομαι,Σκέφτηκα,Θα σκεφτώ,Σκέφτεσαι,Σκέφτηκες,Θα σκεφτείς,Σκέφτεται,Σκέφτηκε,Θα σκεφτεί,Σκεφτόμαστε,Σκεφτήκαμε,Θα σκεφτούμε,Σκέφτεστε,Σκεφτήκατε,Θα σκεφτείτε,Σκέφτονται,Σκέφτηκαν,Θα σκεφτούν, Σκέψου , Σκεφτείτε , Σκέφτου , Σκέφτεστε 
34,Clean,Καθαρίζω,To clean,Καθαρίζω,Καθάρισα,Θα καθαρίσω,Καθαρίζεις,Καθάρισες,Θα καθαρίσεις,Καθαρίζει,Καθάρισε,Θα καθαρίσει,Καθαρίζουμε,Καθαρίσαμε,Θα καθαρίσουμε,Καθαρίζετε,Καθαρίσατε,Θα καθαρίσετε,Καθαρίζουν,Καθάρισαν,Θα καθαρίσουν, Καθάρισε , Καθαρίστε , Καθάριζε , Καθαρίζετε 
35,Decide,Αποφασίζω,To decide,Αποφασίζω,Αποφάσισα,Θα αποφασίσω,Αποφασίζεις,Αποφάσισες,Θα αποφασίσεις,Αποφασίζει,Αποφάσισε,Θα αποφασίσει,Αποφασίζουμε,Αποφασίσαμε,Θα αποφασίσουμε,Αποφασίζετε,Αποφασίσατε,Θα αποφασίσετε,Αποφασίζουν,Αποφάσισαν,Θα αποφασίσουν, Αποφάσισε , Αποφασίστε , Αποφάσιζε , Αποφασίζετε 
36,Find,Βρίσκω,To find,Βρίσκω,Βρήκα,Θα βρω,Βρίσκεις,Βρήκες,Θα βρεις,Βρίσκει,Βρήκε,Θα βρει,Βρίσκουμε,Βρήκαμε,Θα βρούμε,Βρίσκετε,Βρήκατε,Θα βρείτε,Βρίσκουν,Βρήκαν,Θα βρουν, Βρες , Βρείτε ,Ψάχνε,Ψάχνετε
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
